OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddressNo,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1
ORD200001,2024-08-23,C75739,Phone,2,151.35,823,Online,Shipped,TRK91186779,3,SAVE10,Referral,302.7
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4
ORD200003,2023-10-15,C33540,Chair,1,273.19,275,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,273.19
ORD200004,2025-05-08,C81840,Printer,4,626.01,668,Online,Delivered,TRK29241424,8,SAVE10,Email,2504.04
ORD200005,2023-10-23,C37249,Phone,2,245.86,934,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72
ORD200006,2025-06-17,C83492,Laptop,1,664.42,986,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,664.42
ORD200007,2023-05-12,C41460,Monitor,5,149.55,706,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75
ORD200008,2025-04-02,C26817,Phone,2,134.28,904,Gift Card,Cancelled,TRK61042692,2,NONE,Email,268.56
ORD200009,2023-11-21,C31946,Desk,4,509.38,102,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2037.52
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85
ORD200011,2024-02-17,C93861,Monitor,3,49.14,831,Online,Returned,TRK48234646,7,SAVE10,Email,147.42
ORD200012,2024-10-15,C38785,Monitor,2,180.5,179,Debit Card,Pending,TRK20419991,6,FREESHIP,Referral,361.0
ORD200013,2023-08-30,C88348,Laptop,3,201.49,903,Credit Card,Returned,TRK81913874,4,FREESHIP,Facebook,604.47
ORD200014,2023-03-27,C98474,Tablet,2,393.33,980,Debit Card,Pending,TRK79186539,3,SAVE10,Instagram,786.66
ORD200015,2023-07-17,C39416,Printer,1,473.96,942,Cash,Delivered,TRK54930938,3,NONE,Google,473.96
ORD200016,2023-01-24,C28976,Printer,2,533.81,914,Credit Card,Pending,TRK13194259,3,FREESHIP,Email,1067.62
ORD200017,2024-03-02,C60672,Tablet,1,423.4,382,Debit Card,Shipped,TRK11972116,3,NONE,Referral,423.4
ORD200018,2025-03-26,C84329,Desk,1,431.44,891,Gift Card,Pending,TRK65191045,3,SAVE10,Facebook,431.44
ORD200019,2023-01-23,C14552,Monitor,5,224.0,273,Cash,Returned,TRK59101365,9,SAVE10,Google,1120.0
ORD200020,2023-05-08,C54829,Chair,5,62.51,587,Cash,Pending,TRK16718651,9,WINTER15,Instagram,312.55
ORD200021,2024-11-17,C99023,Monitor,4,342.95,569,Cash,Delivered,TRK52646983,6,NONE,Google,1371.8
ORD200022,2023-01-29,C34416,Monitor,2,49.62,633,Online,Pending,TRK75937350,2,SAVE10,Google,99.24
ORD200023,2025-04-09,C42372,Phone,4,273.25,755,Debit Card,Cancelled,TRK36168083,5,FREESHIP,Referral,1093.0
ORD200024,2024-10-30,C17470,Laptop,2,230.95,956,Online,Delivered,TRK28775057,3,WINTER15,Referral,461.9
ORD200025,2024-07-24,C42577,Monitor,1,399.98,709,Debit Card,Delivered,TRK69423327,3,WINTER15,Email,399.98
ORD200026,2024-03-06,C21944,Laptop,5,59.55,296,Online,Delivered,TRK80276812,6,NONE,Referral,297.75
ORD200027,2024-02-22,C97593,Printer,1,472.74,881,Online,Shipped,TRK89117573,6,WINTER15,Google,472.74
ORD200028,2023-11-21,C59823,Phone,4,160.07,568,Online,Pending,TRK65895539,5,NONE,Email,640.28
ORD200029,2024-09-20,C33260,Desk,3,423.53,930,Credit Card,Delivered,TRK59744090,6,SAVE10,Referral,1270.59
ORD200030,2025-03-22,C44267,Monitor,2,426.7,895,Online,Pending,TRK54751444,5,SAVE10,Referral,853.4
ORD200031,2023-06-30,C26445,Chair,3,500.08,996,Debit Card,Returned,TRK31229981,6,NONE,Facebook,1500.24
ORD200032,2023-05-01,C12388,Tablet,5,536.72,830,Cash,Delivered,TRK99261395,10,NONE,Email,2683.6
ORD200033,2023-06-05,C52184,Chair,1,162.77,912,Online,Cancelled,TRK73312471,4,WINTER15,Facebook,162.77
ORD200034,2023-01-07,C67195,Chair,4,576.52,926,Credit Card,Pending,TRK55467915,5,WINTER15,Facebook,2306.08
ORD200035,2024-12-07,C50304,Monitor,2,465.15,128,Online,Shipped,TRK46850888,2,SAVE10,Facebook,930.3
ORD200036,2025-05-08,C59337,Laptop,2,534.43,465,Debit Card,Pending,TRK50961250,5,NONE,Facebook,1068.86
ORD200037,2024-10-14,C10054,Laptop,2,76.74,409,Cash,Returned,TRK94005261,7,SAVE10,Instagram,153.48
ORD200038,2024-12-19,C15924,Laptop,1,245.89,549,Debit Card,Delivered,TRK14835975,3,SAVE10,Google,245.89
ORD200039,2025-02-27,C96664,Printer,3,256.46,666,Credit Card,Delivered,TRK85508960,4,SAVE10,Referral,769.38
ORD200040,2023-08-20,C84766,Desk,2,344.02,267,Online,Delivered,TRK78967923,4,FREESHIP,Instagram,688.04
ORD200041,2023-12-05,C20212,Monitor,3,611.45,657,Gift Card,Pending,TRK69733327,4,FREESHIP,Instagram,1834.35
ORD200042,2024-05-06,C28712,Printer,2,151.66,980,Cash,Cancelled,TRK40772558,6,NONE,Instagram,303.32
ORD200043,2023-12-14,C60572,Chair,3,499.21,871,Online,Cancelled,TRK20351666,8,NONE,Instagram,1497.63
ORD200044,2025-04-21,C73225,Phone,2,550.18,996,Gift Card,Returned,TRK73848522,3,FREESHIP,Referral,1100.36
ORD200045,2024-02-10,C17388,Chair,1,317.25,157,Debit Card,Returned,TRK47077395,1,SAVE10,Facebook,317.25
ORD200046,2024-06-26,C43212,Monitor,4,550.14,223,Debit Card,Pending,TRK25100762,4,FREESHIP,Instagram,2200.56
ORD200047,2023-07-19,C38134,Desk,2,209.94,323,Credit Card,Returned,TRK42450754,3,FREESHIP,Email,419.88
ORD200048,2023-08-26,C12408,Monitor,2,80.77,464,Debit Card,Shipped,TRK38938858,4,NONE,Google,161.54
ORD200049,2023-10-07,C11985,Printer,1,30.44,633,Credit Card,Shipped,TRK53272402,1,SAVE10,Email,30.44
ORD200050,2023-07-31,C96494,Tablet,1,179.22,446,Online,Cancelled,TRK14675049,6,FREESHIP,Instagram,179.22
ORD200051,2024-12-30,C36778,Tablet,1,388.33,434,Cash,Returned,TRK67610289,2,SAVE10,Facebook,388.33
ORD200052,2024-09-08,C30513,Tablet,1,586.44,232,Online,Returned,TRK64320429,5,SAVE10,Facebook,586.44
ORD200053,2024-05-18,C67551,Phone,4,488.78,512,Online,Returned,TRK94992552,5,FREESHIP,Google,1955.12
ORD200054,2025-03-27,C48120,Chair,1,280.25,623,Online,Pending,TRK11014449,5,WINTER15,Email,280.25
ORD200055,2025-06-24,C95984,Printer,3,344.4,565,Online,Cancelled,TRK67434829,3,NONE,Facebook,1033.2
ORD200056,2023-05-21,C54298,Tablet,3,479.21,566,Cash,Cancelled,TRK62902341,5,WINTER15,Referral,1437.63
ORD200057,2023-01-22,C88036,Printer,5,314.27,842,Cash,Returned,TRK52470128,6,SAVE10,Instagram,1571.35
ORD200058,2023-01-15,C60190,Phone,4,474.69,202,Gift Card,Cancelled,TRK70857868,6,SAVE10,Google,1898.76
ORD200059,2024-09-11,C97603,Chair,4,593.27,811,Online,Shipped,TRK47055028,5,NONE,Facebook,2373.08
ORD200060,2024-08-21,C39256,Desk,1,417.1,634,Debit Card,Returned,TRK23412025,3,FREESHIP,Referral,417.1
ORD200061,2024-03-24,C61618,Desk,4,122.2,104,Cash,Delivered,TRK43458485,7,FREESHIP,Facebook,488.8
ORD200062,2023-08-22,C36497,Desk,2,43.15,691,Debit Card,Pending,TRK12102911,3,WINTER15,Email,86.3
ORD200063,2025-02-02,C96695,Chair,1,564.86,813,Debit Card,Shipped,TRK64283851,6,WINTER15,Referral,564.86
ORD200064,2025-06-25,C49720,Printer,3,130.61,752,Debit Card,Cancelled,TRK55785217,4,FREESHIP,Facebook,391.83
ORD200065,2023-12-30,C97735,Monitor,5,81.7,385,Credit Card,Delivered,TRK13743703,6,NONE,Instagram,408.5
ORD200066,2024-11-15,C18104,Chair,5,127.18,715,Cash,Cancelled,TRK15488568,9,SAVE10,Referral,635.9
ORD200067,2024-12-09,C25587,Printer,4,12.1,440,Debit Card,Cancelled,TRK55105323,8,NONE,Google,48.4
ORD200068,2023-12-11,C41598,Chair,3,490.92,709,Credit Card,Pending,TRK81665940,5,FREESHIP,Email,1472.76
ORD200069,2023-05-11,C43338,Monitor,3,478.65,552,Online,Shipped,TRK35241775,4,NONE,Referral,1435.95
ORD200070,2023-05-26,C25123,Desk,1,629.21,384,Gift Card,Pending,TRK27812282,2,FREESHIP,Instagram,629.21
ORD200071,2025-06-10,C37454,Monitor,3,434.45,923,Credit Card,Pending,TRK28252730,4,NONE,Referral,1303.35
ORD200072,2024-12-22,C19451,Tablet,4,589.44,942,Gift Card,Returned,TRK87787793,5,NONE,Facebook,2357.76
ORD200073,2023-05-03,C17269,Monitor,4,433.45,129,Gift Card,Cancelled,TRK79608389,4,NONE,Facebook,1733.8
ORD200074,2023-06-24,C25382,Phone,5,90.87,622,Cash,Pending,TRK64691287,5,NONE,Instagram,454.35
ORD200075,2023-09-26,C80651,Tablet,3,398.17,917,Debit Card,Delivered,TRK14846720,5,SAVE10,Email,1194.51
ORD200076,2024-03-31,C58638,Laptop,4,382.88,239,Cash,Cancelled,TRK38224871,6,WINTER15,Email,1531.52
ORD200077,2024-05-24,C50121,Phone,1,583.18,348,Credit Card,Returned,TRK79810059,5,NONE,Google,583.18
ORD200078,2024-08-06,C32029,Printer,4,175.36,146,Debit Card,Delivered,TRK68535532,4,FREESHIP,Instagram,701.44
ORD200079,2025-03-10,C76700,Tablet,2,311.91,103,Online,Shipped,TRK13036341,2,NONE,Facebook,623.82
ORD200080,2023-06-27,C29041,Phone,3,589.56,591,Online,Returned,TRK28840655,6,NONE,Facebook,1768.68
ORD200081,2023-06-08,C29314,Monitor,2,394.3,496,Cash,Shipped,TRK59876213,6,FREESHIP,Email,788.6
ORD200082,2024-01-05,C65799,Tablet,4,565.2,971,Debit Card,Shipped,TRK66906607,9,SAVE10,Google,2260.8
ORD200083,2023-08-22,C15681,Laptop,4,540.41,989,Credit Card,Cancelled,TRK75112172,6,NONE,Referral,2161.64
